시도,시군구,사고유형대분류,사고유형,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,차대사람,횡단중,151,1,158,77,67,14
서울,종로구,차대사람,차도통행중,55,2,56,29,20,7
서울,종로구,차대사람,길가장자리구역통행중,54,1,55,14,28,13
서울,종로구,차대사람,보도통행중,32,1,32,8,18,6
서울,종로구,차대사람,기타,103,2,105,33,54,18
서울,종로구,차대차,정면충돌,29,0,57,17,28,12
서울,종로구,차대차,측면충돌,561,0,806,183,517,106
서울,종로구,차대차,추돌,168,0,293,43,221,29
서울,종로구,차대차,추돌,91,0,164,23,124,17
서울,종로구,차대차,기타,93,0,120,24,79,17
서울,종로구,차량단독,전도전복,7,0,8,3,3,2
서울,종로구,차량단독,공작물충돌,26,0,31,8,13,10
서울,종로구,차량단독,주/정차차량 충돌,1,0,1,0,1,0
서울,종로구,차량단독,기타,43,1,47,9,29,9
서울,중구,차대사람,횡단중,153,4,157,93,53,11
서울,중구,차대사람,차도통행중,55,1,56,28,19,9
서울,중구,차대사람,길가장자리구역통행중,34,0,36,13,20,3
서울,중구,차대사람,보도통행중,22,0,25,10,15,0
서울,중구,차대사람,기타,109,3,108,29,61,18
서울,중구,차대차,정면충돌,27,0,58,16,36,6
서울,중구,차대차,측면충돌,499,0,701,180,444,77
서울,중구,차대차,추돌,212,0,329,51,235,43
서울,중구,차대차,추돌,72,0,140,21,107,12
서울,중구,차대차,기타,108,0,138,43,72,23
서울,중구,차량단독,전도전복,6,0,7,2,5,0
서울,중구,차량단독,공작물충돌,11,0,17,4,10,3
서울,중구,차량단독,기타,30,0,31,10,17,4
서울,용산구,차대사람,횡단중,111,4,118,59,47,12
서울,용산구,차대사람,차도통행중,29,0,31,14,15,2
서울,용산구,차대사람,길가장자리구역통행중,33,0,36,7,24,5
서울,용산구,차대사람,보도통행중,13,0,14,6,7,1
서울,용산구,차대사람,기타,148,5,154,50,83,21
서울,용산구,차대차,정면충돌,56,1,92,30,54,8
서울,용산구,차대차,측면충돌,426,2,609,147,425,37
서울,용산구,차대차,추돌,188,0,324,62,232,30
서울,용산구,차대차,추돌,139,0,226,35,172,19
서울,용산구,차대차,기타,314,3,437,78,321,38
서울,용산구,차량단독,전도전복,8,1,7,3,0,4
서울,용산구,차량단독,공작물충돌,21,1,29,11,12,6
서울,용산구,차량단독,기타,30,1,33,11,17,5
서울,성동구,차대사람,횡단중,129,3,138,65,68,5
서울,성동구,차대사람,차도통행중,10,0,11,4,6,1
서울,성동구,차대사람,길가장자리구역통행중,15,0,15,7,4,4
서울,성동구,차대사람,보도통행중,15,0,17,6,9,2
서울,성동구,차대사람,기타,147,0,154,62,79,13
서울,성동구,차대차,정면충돌,27,0,35,14,19,2
서울,성동구,차대차,측면충돌,287,1,421,139,215,67
서울,성동구,차대차,추돌,129,0,246,44,165,37
서울,성동구,차대차,추돌,62,1,126,15,97,14
서울,성동구,차대차,기타,364,1,516,119,296,101
서울,성동구,차량단독,전도전복,4,0,4,0,3,1
서울,성동구,차량단독,공작물충돌,18,2,20,8,11,1
서울,성동구,차량단독,도로이탈,1,0,1,0,1,0
서울,성동구,차량단독,기타,19,0,21,6,8,7
서울,동대문구,차대사람,횡단중,215,5,225,112,105,8
서울,동대문구,차대사람,차도통행중,25,0,26,6,20,0
서울,동대문구,차대사람,길가장자리구역통행중,21,0,22,9,13,0
서울,동대문구,차대사람,보도통행중,19,0,19,2,16,1
서울,동대문구,차대사람,기타,297,3,313,104,182,27
서울,동대문구,차대차,정면충돌,137,2,187,38,135,14
서울,동대문구,차대차,측면충돌,427,2,612,145,416,51
서울,동대문구,차대차,추돌,165,0,263,52,192,19
서울,동대문구,차대차,추돌,102,1,166,29,124,13
서울,동대문구,차대차,기타,611,2,825,182,549,94
서울,동대문구,차량단독,전도전복,11,0,12,2,8,2
서울,동대문구,차량단독,공작물충돌,14,1,18,3,8,7
서울,동대문구,차량단독,주/정차차량 충돌,1,0,1,0,0,1
서울,동대문구,차량단독,기타,40,0,42,18,18,6
서울,성북구,차대사람,횡단중,279,5,293,126,153,14
서울,성북구,차대사람,차도통행중,46,2,47,22,25,0
서울,성북구,차대사람,길가장자리구역통행중,59,1,58,18,35,5
서울,성북구,차대사람,보도통행중,20,0,23,10,13,0
서울,성북구,차대사람,기타,99,1,100,35,56,9
서울,성북구,차대차,정면충돌,33,0,46,10,33,3
서울,성북구,차대차,측면충돌,630,4,893,207,612,74
서울,성북구,차대차,추돌,165,1,270,46,197,27
서울,성북구,차대차,추돌,170,1,338,47,260,31
서울,성북구,차대차,기타,121,0,158,34,108,16
서울,성북구,차량단독,전도전복,7,1,8,4,1,3
서울,성북구,차량단독,공작물충돌,18,3,17,2,8,7
서울,성북구,차량단독,도로이탈,1,0,1,0,1,0
서울,성북구,차량단독,기타,32,0,34,15,17,2
서울,도봉구,차대사람,횡단중,141,4,142,78,54,10
서울,도봉구,차대사람,차도통행중,21,1,21,10,6,5
서울,도봉구,차대사람,길가장자리구역통행중,32,0,33,15,13,5
서울,도봉구,차대사람,보도통행중,20,0,22,8,13,1
서울,도봉구,차대사람,기타,56,1,56,21,30,5
서울,도봉구,차대차,정면충돌,45,0,64,23,33,8
서울,도봉구,차대차,측면충돌,306,1,457,100,289,68
서울,도봉구,차대차,추돌,118,0,189,41,123,25
서울,도봉구,차대차,추돌,68,0,127,19,95,13
서울,도봉구,차대차,기타,65,0,87,26,44,17
서울,도봉구,차량단독,전도전복,3,0,3,0,3,0
서울,도봉구,차량단독,공작물충돌,7,1,21,4,10,7
서울,도봉구,차량단독,기타,32,0,33,16,12,5
서울,은평구,차대사람,횡단중,186,10,187,101,71,15
서울,은평구,차대사람,차도통행중,53,1,58,21,27,10
서울,은평구,차대사람,길가장자리구역통행중,39,1,38,12,25,1
서울,은평구,차대사람,보도통행중,28,0,31,14,15,2
서울,은평구,차대사람,기타,85,0,89,19,52,18
서울,은평구,차대차,정면충돌,19,0,41,13,21,7
서울,은평구,차대차,측면충돌,463,3,718,158,459,101
서울,은평구,차대차,추돌,137,1,227,43,162,22
서울,은평구,차대차,추돌,99,0,169,26,122,21
서울,은평구,차대차,기타,66,0,82,21,50,11
서울,은평구,차량단독,전도전복,5,0,6,1,5,0
서울,은평구,차량단독,공작물충돌,4,0,6,1,4,1
서울,은평구,차량단독,도로이탈,1,0,1,0,1,0
서울,은평구,차량단독,기타,18,0,20,8,11,1
서울,서대문구,차대사람,횡단중,104,3,107,58,39,10
서울,서대문구,차대사람,차도통행중,28,1,29,17,12,0
서울,서대문구,차대사람,길가장자리구역통행중,17,1,18,4,12,2
서울,서대문구,차대사람,보도통행중,17,1,16,4,9,3
서울,서대문구,차대사람,기타,190,2,207,82,97,28
서울,서대문구,차대차,정면충돌,26,0,36,12,20,4
서울,서대문구,차대차,측면충돌,239,0,382,94,225,63
서울,서대문구,차대차,추돌,110,0,176,30,121,25
서울,서대문구,차대차,추돌,82,0,131,20,107,4
서울,서대문구,차대차,기타,201,3,327,74,185,68
서울,서대문구,차량단독,전도전복,8,0,10,3,1,6
서울,서대문구,차량단독,공작물충돌,14,1,17,6,10,1
서울,서대문구,차량단독,주/정차차량 충돌,1,0,1,1,0,0
서울,서대문구,차량단독,기타,34,1,35,11,16,8
서울,마포구,차대사람,횡단중,164,3,172,74,92,6
서울,마포구,차대사람,차도통행중,50,1,56,23,28,5
서울,마포구,차대사람,길가장자리구역통행중,36,0,37,9,22,6
서울,마포구,차대사람,보도통행중,25,0,25,12,10,3
서울,마포구,차대사람,기타,197,3,214,89,109,16
서울,마포구,차대차,정면충돌,50,0,90,23,65,2
서울,마포구,차대차,측면충돌,433,3,684,178,446,60
서울,마포구,차대차,추돌,292,2,590,113,426,51
서울,마포구,차대차,추돌,117,1,252,47,186,19
서울,마포구,차대차,기타,371,1,535,115,353,67
서울,마포구,차량단독,전도전복,13,1,15,4,7,4
서울,마포구,차량단독,공작물충돌,30,1,36,12,18,6
서울,마포구,차량단독,도로이탈,1,1,1,1,0,0
서울,마포구,차량단독,기타,23,0,23,6,13,4
서울,강서구,차대사람,횡단중,145,3,154,67,84,3
서울,강서구,차대사람,차도통행중,92,1,96,30,61,5
서울,강서구,차대사람,길가장자리구역통행중,29,0,29,9,17,3
서울,강서구,차대사람,보도통행중,19,1,19,5,13,1
서울,강서구,차대사람,기타,246,2,251,93,125,33
서울,강서구,차대차,정면충돌,51,0,79,21,54,4
서울,강서구,차대차,측면충돌,478,1,732,150,536,46
서울,강서구,차대차,추돌,113,2,239,55,151,33
서울,강서구,차대차,추돌,154,0,287,37,230,20
서울,강서구,차대차,기타,533,1,793,158,526,109
서울,강서구,차량단독,전도전복,7,0,7,1,5,1
서울,강서구,차량단독,공작물충돌,18,1,21,7,12,2
서울,강서구,차량단독,기타,47,0,55,15,39,1
서울,구로구,차대사람,횡단중,207,7,215,106,92,17
서울,구로구,차대사람,차도통행중,38,2,40,22,15,3
서울,구로구,차대사람,길가장자리구역통행중,27,0,27,10,17,0
서울,구로구,차대사람,보도통행중,20,0,23,8,11,4
서울,구로구,차대사람,기타,146,5,155,62,71,22
서울,구로구,차대차,정면충돌,34,0,64,16,43,5
서울,구로구,차대차,측면충돌,407,1,621,141,406,74
서울,구로구,차대차,추돌,175,0,302,72,208,22
서울,구로구,차대차,추돌,179,1,327,45,259,23
서울,구로구,차대차,기타,224,2,300,62,194,44
서울,구로구,차량단독,전도전복,6,1,5,0,3,2
서울,구로구,차량단독,공작물충돌,20,0,23,6,11,6
서울,구로구,차량단독,기타,25,0,25,9,11,5
서울,영등포구,차대사람,횡단중,258,12,266,136,107,23
서울,영등포구,차대사람,차도통행중,61,1,62,25,31,6
서울,영등포구,차대사람,길가장자리구역통행중,52,0,54,18,30,6
서울,영등포구,차대사람,보도통행중,27,1,29,13,14,2
서울,영등포구,차대사람,기타,164,5,168,49,97,22
서울,영등포구,차대차,정면충돌,120,2,185,40,123,22
서울,영등포구,차대차,측면충돌,801,3,1200,259,782,159
서울,영등포구,차대차,추돌,352,1,651,85,507,59
서울,영등포구,차대차,추돌,182,1,319,45,224,50
서울,영등포구,차대차,기타,343,2,476,83,318,75
서울,영등포구,차량단독,전도전복,14,0,16,1,7,8
서울,영등포구,차량단독,공작물충돌,35,0,80,27,41,12
서울,영등포구,차량단독,주/정차차량 충돌,1,0,1,1,0,0
서울,영등포구,차량단독,도로이탈,1,0,1,0,1,0
서울,영등포구,차량단독,도로이탈,1,0,2,0,2,0
서울,영등포구,차량단독,기타,50,0,54,14,36,4
서울,동작구,차대사람,횡단중,163,0,177,83,71,23
서울,동작구,차대사람,차도통행중,50,1,52,19,25,8
서울,동작구,차대사람,길가장자리구역통행중,73,0,73,25,41,7
서울,동작구,차대사람,보도통행중,28,0,28,7,16,5
서울,동작구,차대사람,기타,79,0,85,35,46,4
서울,동작구,차대차,정면충돌,32,1,57,29,20,8
서울,동작구,차대차,측면충돌,426,1,660,112,451,97
서울,동작구,차대차,추돌,233,0,347,47,258,42
서울,동작구,차대차,추돌,162,2,316,48,239,29
서울,동작구,차대차,기타,82,0,118,20,81,17
서울,동작구,차량단독,전도전복,7,0,8,2,3,3
서울,동작구,차량단독,공작물충돌,26,2,34,12,18,4
서울,동작구,차량단독,도로이탈,1,0,1,0,1,0
서울,동작구,차량단독,기타,24,0,38,8,28,2
서울,관악구,차대사람,횡단중,195,7,209,100,99,10
서울,관악구,차대사람,차도통행중,12,0,12,4,7,1
서울,관악구,차대사람,길가장자리구역통행중,62,1,61,23,33,5
서울,관악구,차대사람,보도통행중,24,0,24,12,11,1
서울,관악구,차대사람,기타,220,1,237,63,151,23
서울,관악구,차대차,정면충돌,44,0,67,19,45,3
서울,관악구,차대차,측면충돌,386,0,522,105,366,51
서울,관악구,차대차,추돌,190,0,299,42,236,21
서울,관악구,차대차,추돌,130,1,215,30,174,11
서울,관악구,차대차,기타,307,2,426,80,305,41
서울,관악구,차량단독,전도전복,8,0,8,4,3,1
서울,관악구,차량단독,공작물충돌,11,0,15,3,9,3
서울,관악구,차량단독,도로이탈,1,0,2,0,1,1
서울,관악구,차량단독,기타,35,0,38,16,21,1
서울,강남구,차대사람,횡단중,305,7,317,129,161,27
서울,강남구,차대사람,차도통행중,43,0,47,10,29,8
