시도,시군구,시간대,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,00시-02시,45,0,71,19,44,8
서울,종로구,02시-04시,93,0,137,31,74,32
서울,종로구,04시-06시,92,0,122,35,73,14
서울,종로구,06시-08시,86,1,116,33,60,23
서울,종로구,08시-10시,87,0,126,23,89,14
서울,종로구,10시-12시,92,1,121,28,83,10
서울,종로구,12시-14시,90,0,123,28,75,20
서울,종로구,14시-16시,95,0,125,28,79,18
서울,종로구,16시-18시,110,0,144,33,93,18
서울,종로구,18시-20시,92,1,120,26,80,14
서울,종로구,20시-22시,89,1,116,24,76,16
서울,종로구,22시-24시,97,2,126,30,81,15
서울,중구,00시-02시,39,0,57,16,38,3
서울,중구,02시-04시,73,0,111,24,69,18
서울,중구,04시-06시,78,2,123,27,81,15
서울,중구,06시-08시,78,0,108,34,62,12
서울,중구,08시-10시,94,1,132,44,73,15
서울,중구,10시-12시,81,1,101,36,52,13
서울,중구,12시-14시,92,0,118,38,65,15
서울,중구,14시-16시,81,0,108,33,68,7
서울,중구,16시-18시,92,0,120,29,76,15
서울,중구,18시-20시,92,0,114,26,65,23
서울,중구,20시-22시,86,1,116,30,76,10
서울,중구,22시-24시,96,2,120,29,75,16
서울,용산구,00시-02시,40,1,57,13,35,9
서울,용산구,02시-04시,80,2,114,36,69,9
서울,용산구,04시-06시,115,2,144,37,95,12
서울,용산구,06시-08시,113,2,148,41,96,11
서울,용산구,08시-10시,100,0,142,34,97,11
서울,용산구,10시-12시,104,1,141,37,89,15
서울,용산구,12시-14시,107,2,139,34,92,13
서울,용산구,14시-16시,98,0,134,37,86,11
서울,용산구,16시-18시,104,0,143,27,99,17
서울,용산구,18시-20시,113,2,169,45,111,13
서울,용산구,20시-22시,78,0,129,22,97,10
서울,용산구,22시-24시,86,0,118,22,82,14
서울,성동구,00시-02시,31,0,40,9,29,2
서울,성동구,02시-04시,68,0,108,29,57,22
서울,성동구,04시-06시,78,0,103,28,57,18
서울,성동구,06시-08시,89,1,128,37,79,12
서울,성동구,08시-10시,79,0,98,31,50,17
서울,성동구,10시-12시,85,2,117,39,60,18
서울,성동구,12시-14시,87,1,124,44,62,18
서울,성동구,14시-16시,87,0,119,33,70,16
서울,성동구,16시-18시,95,0,121,40,66,15
서울,성동구,18시-20시,66,2,83,20,56,7
서울,성동구,20시-22시,87,0,112,34,61,17
서울,성동구,22시-24시,78,1,123,29,69,25
서울,동대문구,00시-02시,76,1,88,20,58,10
서울,동대문구,02시-04시,104,0,143,43,85,15
서울,동대문구,04시-06시,130,2,177,50,118,9
서울,동대문구,06시-08시,136,2,174,46,109,19
서울,동대문구,08시-10시,135,0,161,40,111,10
서울,동대문구,10시-12시,117,0,173,39,119,15
서울,동대문구,12시-14시,128,2,172,41,106,25
서울,동대문구,14시-16시,150,0,172,55,103,14
서울,동대문구,16시-18시,163,2,211,63,121,27
서울,동대문구,18시-20시,149,0,195,45,133,17
서울,동대문구,20시-22시,139,0,193,53,134,6
서울,동대문구,22시-24시,141,2,184,42,127,15
서울,성북구,00시-02시,51,0,64,21,39,4
서울,성북구,02시-04시,108,0,136,36,95,5
