시도,시군구,연령,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,12세이하,3,0,4,0,0,4
서울,종로구,13-20세,28,1,38,15,13,10
서울,종로구,21-30세,167,2,238,63,137,38
서울,종로구,31-40세,199,1,275,56,174,45
서울,종로구,41-50세,287,2,405,104,258,43
서울,종로구,51-60세,400,1,563,135,370,58
서울,종로구,61-64세,112,1,148,38,96,14
서울,종로구,65세이상,179,0,222,52,141,29
서울,종로구,불명,39,0,40,8,13,19
서울,중구,12세이하,1,0,1,0,1,0
서울,중구,13-20세,24,0,28,7,15,6
서울,중구,21-30세,147,0,234,61,135,38
서울,중구,31-40세,201,0,291,84,173,34
서울,중구,41-50세,238,2,302,79,188,35
서울,중구,51-60세,404,2,558,160,346,52
서울,중구,61-64세,102,0,124,29,82,13
서울,중구,65세이상,180,4,220,74,125,21
서울,중구,불명,41,0,45,6,29,10
서울,용산구,12세이하,4,0,4,1,0,3
서울,용산구,13-20세,37,0,50,12,30,8
서울,용산구,21-30세,206,6,301,64,203,34
서울,용산구,31-40세,259,2,374,101,243,30
서울,용산구,41-50세,298,3,412,97,273,42
서울,용산구,51-60세,384,2,538,122,390,26
서울,용산구,61-64세,105,0,156,39,111,6
서울,용산구,65세이상,183,5,227,70,138,19
서울,용산구,불명,40,0,48,7,21,20
서울,성동구,12세이하,4,0,4,2,0,2
서울,성동구,13-20세,52,0,66,18,26,22
서울,성동구,21-30세,173,5,274,77,149,48
서울,성동구,31-40세,200,1,292,77,166,49
서울,성동구,41-50세,270,0,369,112,218,39
서울,성동구,51-60세,311,2,433,118,260,55
서울,성동구,61-64세,79,0,100,31,58,11
서울,성동구,65세이상,109,0,157,53,80,24
서울,성동구,불명,29,0,30,1,24,5
서울,동대문구,12세이하,15,0,16,2,7,7
서울,동대문구,13-20세,97,2,119,19,74,26
서울,동대문구,21-30세,269,1,369,97,228,44
서울,동대문구,31-40세,339,3,475,109,330,36
서울,동대문구,41-50세,397,4,493,144,314,35
서울,동대문구,51-60세,543,2,713,184,478,51
서울,동대문구,61-64세,137,3,181,39,127,15
서울,동대문구,65세이상,239,1,312,95,195,22
서울,동대문구,불명,49,0,53,13,33,7
서울,성북구,12세이하,7,0,7,0,5,2
서울,성북구,13-20세,74,1,91,27,50,14
서울,성북구,21-30세,218,3,312,63,213,36
서울,성북구,31-40세,256,3,337,96,216,25
서울,성북구,41-50세,318,4,454,98,320,36
서울,성북구,51-60세,447,4,601,164,404,33
