시도,시군구,도로형태,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,터널안,9,0,13,2,10,1
서울,종로구,교량위,4,0,6,3,3,0
서울,종로구,지하차도(도로)내,2,0,2,0,2,0
서울,종로구,기타단일로,833,6,1107,284,660,163
서울,종로구,교차로내,276,0,416,87,284,45
서울,종로구,교차로부근,185,0,255,65,165,25
서울,종로구,횡단보도상,45,2,48,15,26,7
서울,종로구,횡단보도부근,35,0,48,6,25,17
서울,종로구,기타/불명,25,0,38,9,27,2
서울,중구,터널안,14,0,37,14,20,3
서울,중구,고가도로위,8,0,10,4,5,1
서울,중구,기타단일로,705,2,943,241,593,109
서울,중구,교차로내,249,1,345,110,193,42
서울,중구,교차로부근,261,2,341,89,215,37
서울,중구,횡단보도상,38,1,43,23,14,6
서울,중구,횡단보도부근,30,1,45,8,29,8
서울,중구,기타/불명,33,1,39,11,25,3
서울,용산구,터널안,5,1,5,1,3,1
서울,용산구,교량위,56,1,108,24,73,11
서울,용산구,고가도로위,12,0,19,5,14,0
서울,용산구,지하차도(도로)내,5,1,6,3,2,1
서울,용산구,기타단일로,875,8,1237,278,839,120
서울,용산구,교차로내,223,3,293,74,193,26
서울,용산구,교차로부근,244,1,340,86,230,24
서울,용산구,횡단보도상,50,2,50,27,19,4
서울,용산구,횡단보도부근,26,1,26,8,17,1
서울,용산구,기타/불명,20,0,26,7,19,0
서울,성동구,터널안,3,0,4,1,3,0
서울,성동구,교량위,38,0,68,6,52,10
서울,성동구,고가도로위,3,0,5,0,3,2
서울,성동구,지하차도(도로)내,1,1,0,0,0,0
서울,성동구,기타단일로,678,6,980,271,572,137
서울,성동구,교차로내,298,0,393,126,204,63
서울,성동구,교차로부근,158,1,220,64,118,38
서울,성동구,횡단보도상,36,0,42,18,20,4
서울,성동구,횡단보도부근,3,0,4,1,3,0
서울,성동구,기타/불명,9,0,9,2,6,1
서울,동대문구,터널안,1,0,1,0,1,0
서울,동대문구,교량위,4,0,8,1,7,0
서울,동대문구,고가도로위,2,0,4,0,4,0
서울,동대문구,지하차도(도로)내,5,0,7,3,4,0
서울,동대문구,기타단일로,928,7,1213,305,791,117
서울,동대문구,교차로내,587,5,777,206,505,66
서울,동대문구,교차로부근,340,1,461,107,313,41
서울,동대문구,횡단보도상,67,0,73,30,37,6
서울,동대문구,횡단보도부근,42,1,53,11,34,8
서울,동대문구,기타/불명,109,2,134,39,90,5
서울,성북구,터널안,7,1,19,5,14,0
서울,성북구,교량위,4,0,4,0,4,0
서울,성북구,고가도로위,14,0,25,2,23,0
서울,성북구,기타단일로,872,15,1161,300,754,107
서울,성북구,교차로내,406,2,572,137,395,40
서울,성북구,교차로부근,229,0,326,78,217,31
서울,성북구,횡단보도상,100,1,112,39,66,7
서울,성북구,횡단보도부근,38,0,56,14,39,3
서울,성북구,기타/불명,10,0,11,1,7,3
서울,도봉구,교량위,1,0,2,0,2,0
서울,도봉구,지하차도(도로)내,2,0,5,0,4,1
서울,도봉구,기타단일로,354,1,475,137,284,54
서울,도봉구,교차로내,332,3,467,136,263,68
서울,도봉구,교차로부근,153,2,223,55,131,37
서울,도봉구,횡단보도상,33,2,34,17,12,5
서울,도봉구,횡단보도부근,26,0,35,15,20,0
서울,도봉구,기타/불명,13,0,14,1,9,4
서울,은평구,터널안,1,0,1,1,0,0
서울,은평구,교량위,1,0,1,0,1,0
서울,은평구,기타단일로,531,7,698,186,421,91
서울,은평구,교차로내,322,4,484,125,301,58
서울,은평구,교차로부근,255,2,378,91,243,44
서울,은평구,횡단보도상,54,2,58,22,26,10
서울,은평구,횡단보도부근,22,1,33,8,21,4
서울,은평구,기타/불명,17,0,20,5,12,3
서울,서대문구,터널안,1,0,1,0,1,0
서울,서대문구,교량위,3,0,3,1,2,0
서울,서대문구,고가도로위,10,0,17,8,8,1
서울,서대문구,지하차도(도로)내,1,0,1,0,0,1
서울,서대문구,기타단일로,651,9,886,236,515,135
서울,서대문구,교차로내,220,3,350,98,201,51
서울,서대문구,교차로부근,108,0,148,41,87,20
서울,서대문구,횡단보도상,40,0,43,18,23,2
서울,서대문구,횡단보도부근,14,1,15,6,8,1
서울,서대문구,기타/불명,23,0,28,8,9,11
서울,마포구,터널안,3,0,14,6,7,1
서울,마포구,교량위,37,0,122,21,87,14
서울,마포구,고가도로위,6,0,18,5,12,1
서울,마포구,지하차도(도로)내,1,0,1,1,0,0
서울,마포구,기타단일로,993,12,1434,357,940,137
서울,마포구,교차로내,374,2,588,162,375,51
서울,마포구,교차로부근,271,0,422,95,291,36
서울,마포구,횡단보도상,62,2,64,30,31,3
서울,마포구,횡단보도부근,31,1,41,21,19,1
서울,마포구,기타/불명,24,0,26,8,13,5
서울,강서구,터널안,4,0,7,1,2,4
서울,강서구,교량위,5,0,10,5,5,0
서울,강서구,고가도로위,1,0,1,0,0,1
서울,강서구,지하차도(도로)내,3,0,13,2,11,0
서울,강서구,기타단일로,952,5,1330,301,907,122
서울,강서구,교차로내,420,4,692,173,453,66
서울,강서구,교차로부근,401,2,532,119,371,42
